Scheme Name,Net Asset Value
ICICI Prudential Corporate Bond Fund - Half Yearly IDCW Option,12.6555
ICICI Prudential Corporate Bond Fund - Monthly IDCW,10.4192
ICICI Prudential Corporate Bond Fund - Premium Daily Dividend,10.0277
ICICI Prudential Corporate Bond Fund - Premium Monthly Dividend,10.0770
ICICI Prudential Corporate Bond Fund - Weekly IDCW,10.3040
ICICI Prudential Corporate Bond Fund -Quarterly IDCW,10.9587
ICICI Prudential Corporate Bond Fund Retail Daily Dividend,10.0275
ICICI Prudential Corporate Bond Fund Retail Fort Nightly Dividend,10.3041
ICICI Prudential Corporate Bond Fund Retail Growth,22.7853
ICICI Prudential Corporate Bond Fund Retail Monthly Dividend,10.3008
ICICI Prudential Corporate Bond Fund Retail Quarterly Dividend,10.9335
ICICI Prudential Corporate Bond Fund Retail Weekly Dividend,10.2202
 
Invesco Mutual Fund
 
Invesco India Corporate Bond Fund - Annual IDCW (Payout / Reinvestment),1672.1273
Invesco India Corporate Bond Fund - Direct Plan - Annual IDCW (Payout / Reinvestment),1236.8981
Invesco India Corporate Bond Fund - Direct Plan - Discretionary IDCW (Payout / Reinvestment),2879.0205
Invesco India Corporate Bond Fund - Direct Plan - Growth,2878.1086
Invesco India Corporate Bond Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment),1259.4725
Invesco India Corporate Bond Fund - Direct Plan - Quarterly IDCW (Payout / Reinvestment),1166.6441
Invesco India Corporate Bond Fund - Discretionary IDCW (Payout / Reinvestment),2842.0557
Invesco India Corporate Bond Fund - Growth,2707.4787
Invesco India Corporate Bond Fund - Monthly IDCW (Payout / Reinvestment),1551.8373
Invesco India Corporate Bond Fund - Quarterly IDCW (Payout / Reinvestment),1164.6734
 
Kotak Mahindra Mutual Fund
 
Kotak Coporate Bond Fund- Retail Plan-Growth Option,2034.9063
Kotak Corporate Bond Fund- Direct Plan- Growth Option,3322.6014
